"Ignore & Disconnect","Ignore & Disconnect"
"Cancel","Cancel"
"The payment App cannot be disconnected when there are open orders. Open orders won’t be proceed automatically if you delete the App. Close the open orders to continue.","The payment App cannot be disconnected when there are open orders. Open orders won’t be proceed automatically if you delete the App. Close the open orders to continue."
"Please close any open orders and try again.","Please close any open orders and try again."
